day_of_week,hum,weathersit,holiday,season,temp,hr,cnt
0,1.0,2,0,2,0.54,6,96
0,0.32,1,0,4,0.42,17,553
1,0.54,2,0,2,0.44,20,135
2,0.6,1,0,4,0.24,8,692
3,0.51,1,0,3,0.7,0,45
1,0.77,2,0,4,0.54,1,11
1,0.56,1,0,3,0.58,20,461
2,0.79,1,0,3,0.7,6,121
2,0.87,2,0,2,0.34,12,87
3,0.63,2,0,2,0.48,6,127
1,0.58,1,0,2,0.74,13,272
3,0.24,1,0,4,0.4,12,235
5,0.94,2,0,3,0.66,4,11
4,0.94,1,0,3,0.64,12,75
4,0.66,1,0,3,0.74,21,286
6,0.29,1,0,1,0.36,16,147
2,0.64,1,0,2,0.56,0,52
2,0.7,2,0,4,0.26,5,39
4,0.37,1,0,2,0.72,16,558
6,0.55,2,0,2,0.22,10,86
4,0.79,1,0,3,0.7,9,344
1,0.48,1,0,3,0.76,13,192
5,0.38,1,0,2,0.64,10,317
5,0.54,1,0,1,0.42,20,71
1,0.87,3,0,4,0.36,1,13
6,0.59,1,0,4,0.16,6,10
0,0.52,1,0,3,0.8,19,582
3,0.77,1,0,1,0.44,8,623
3,0.41,1,0,3,0.86,11,161
6,0.82,1,0,1,0.48,23,46
3,0.58,2,0,3,0.7,21,336
1,0.45,1,0,3,0.54,4,10
0,0.87,3,0,2,0.3,7,18
3,0.82,3,0,4,0.4,23,13
3,0.81,3,0,1,0.32,14,31
6,0.7,2,0,3,0.76,23,50
1,0.7,1,0,3,0.7,23,81
0,0.88,1,0,3,0.62,3,4
2,0.5,1,0,2,0.62,23,153
2,0.87,2,0,1,0.36,7,229
5,0.47,2,0,2,0.4,11,198
3,0.57,2,0,2,0.64,16,288
1,0.37,1,0,1,0.18,12,74
2,0.87,3,0,1,0.24,20,125
4,0.7,1,0,4,0.32,11,136
1,0.87,1,0,1,0.32,22,32
1,0.38,1,0,1,0.42,17,460
6,0.6,1,0,1,0.26,5,9
4,0.6,2,0,1,0.24,5,15
3,0.82,1,0,1,0.38,5,16
0,0.68,1,0,3,0.56,4,3
2,0.52,2,0,3,0.8,10,214
6,0.65,1,0,1,0.26,18,65
4,0.7,1,0,3,0.72,0,97
0,0.78,2,0,3,0.62,6,94
1,0.74,2,0,3,0.7,9,402
5,0.61,2,0,1,0.3,15,124
2,0.34,1,0,1,0.5,13,205
1,0.59,2,0,1,0.2,13,52
3,0.48,1,0,4,0.48,12,199
4,0.94,3,0,4,0.54,6,131
6,0.48,2,0,4,0.24,9,96
6,0.75,1,0,3,0.76,9,184
0,0.83,1,0,3,0.62,4,12
6,0.7,1,0,3,0.7,21,171
4,0.23,1,0,2,0.64,17,779
2,0.51,1,0,3,0.74,12,312
6,0.3,1,0,1,0.12,19,50
2,0.46,2,0,2,0.62,14,258
5,0.82,2,0,2,0.38,16,191
6,0.51,1,0,3,0.74,12,306
0,0.84,1,0,3,0.7,23,114
1,0.81,3,0,1,0.3,7,126
6,0.48,2,0,2,0.24,11,108
5,0.78,1,0,3,0.64,7,48
0,0.71,3,1,4,0.4,20,227
0,0.47,1,0,1,0.2,9,198
5,0.74,1,0,3,0.72,1,79
3,0.29,1,1,4,0.48,14,220
0,0.62,1,0,3,0.76,10,130
6,0.49,1,0,1,0.34,16,157
5,0.48,2,0,4,0.48,14,310
6,0.77,2,0,4,0.44,21,99
5,0.7,1,0,3,0.7,2,69
3,0.55,1,0,1,0.22,16,24
6,0.36,1,0,1,0.3,19,132
5,0.73,1,0,2,0.54,7,43
1,0.82,3,0,1,0.42,14,14
1,0.3,1,0,3,0.86,12,157
1,0.7,1,0,3,0.7,0,69
1,0.81,3,0,1,0.3,8,93
2,0.35,1,0,1,0.26,12,67
2,0.87,2,0,4,0.26,6,87
3,0.88,2,0,4,0.52,3,8
1,0.57,1,0,4,0.36,0,21
0,0.62,2,0,3,0.72,11,153
5,0.74,1,0,3,0.66,1,116
0,0.61,1,0,1,0.3,19,111
0,0.44,1,0,2,0.22,1,6
1,0.57,2,1,1,0.32,17,50
2,0.93,3,0,1,0.26,17,53
5,0.87,2,0,2,0.38,5,4
6,0.71,1,0,4,0.36,21,88
4,0.1,1,0,1,0.54,22,107
2,0.77,1,0,4,0.54,7,532
6,0.88,1,0,2,0.62,6,14
1,0.52,1,0,3,0.8,17,869
0,0.62,2,1,3,0.74,22,326
5,0.19,1,0,2,0.54,16,615
1,0.75,2,0,1,0.24,16,64
2,0.56,1,0,1,0.3,3,3
4,0.47,2,0,3,0.86,13,345
0,0.44,2,1,1,0.22,22,39
5,0.36,2,0,3,0.64,18,614
4,0.83,1,0,2,0.62,23,178
0,0.55,2,1,1,0.18,18,92
6,0.4,1,0,1,0.38,0,91
4,0.73,1,0,3,0.64,3,8
1,0.83,2,0,3,0.64,22,139
1,0.61,2,0,4,0.34,2,11
3,0.82,1,0,4,0.48,5,26
3,0.66,1,0,1,0.38,0,23
0,0.86,2,0,1,0.2,5,19
3,0.71,3,0,1,0.42,21,17
6,0.88,1,0,3,0.6,7,37
0,0.66,1,1,2,0.72,11,476
5,0.15,1,0,1,0.4,5,3
3,0.47,2,0,1,0.22,0,14
3,0.89,3,0,3,0.66,21,332
6,0.42,1,0,3,0.74,18,402
4,0.53,1,0,2,0.36,1,24
5,0.94,1,0,3,0.58,5,8
3,0.89,2,0,3,0.68,5,20
5,0.66,1,0,3,0.78,7,71
6,0.43,1,0,2,0.62,10,404
1,0.68,1,0,4,0.56,21,295
4,0.37,1,0,3,0.9,18,284
1,0.41,1,0,3,0.8,15,159
5,0.89,1,0,3,0.64,6,42
0,0.74,2,0,4,0.18,9,220
6,0.55,1,0,4,0.52,13,415
4,0.83,1,0,2,0.56,2,15
6,0.37,1,0,1,0.16,19,110
1,0.47,1,0,3,0.86,13,136
1,0.78,2,0,2,0.56,2,5
4,0.46,1,0,2,0.36,1,30
4,0.41,1,0,1,0.26,21,70
0,0.77,2,0,2,0.54,10,108
2,0.48,1,0,4,0.26,23,78
0,0.49,2,0,2,0.56,12,184
6,0.6,1,0,4,0.24,20,119
4,0.55,1,1,2,0.5,10,122
2,0.93,2,0,2,0.34,10,31
4,0.63,1,0,2,0.46,2,10
0,0.4,1,1,1,0.38,14,153
3,0.7,2,0,4,0.32,4,6
3,0.35,1,0,2,0.42,21,187
3,0.53,1,0,4,0.36,22,89
4,0.26,1,0,3,0.82,17,516
6,0.94,2,0,2,0.42,4,8
1,0.24,2,0,3,0.9,15,401
4,0.8,1,0,4,0.22,7,352
6,0.66,1,0,3,0.72,14,616
0,0.58,1,0,3,0.74,12,178
3,0.39,1,0,1,0.12,22,51
0,0.73,2,0,2,0.62,13,176
5,0.41,1,0,4,0.26,5,3
0,0.33,1,0,3,0.64,23,103
0,0.46,1,1,3,0.8,18,418
1,1.0,2,0,1,0.3,0,25
6,0.76,1,0,1,0.34,11,138
6,0.37,1,0,1,0.18,17,62
5,0.41,2,0,2,0.42,17,322
2,0.73,1,0,4,0.54,0,46
3,0.88,2,0,4,0.6,5,22
3,0.52,1,0,2,0.82,14,189
4,0.42,1,0,2,0.7,11,264
3,0.39,1,0,4,0.32,18,307
5,0.47,1,0,2,0.2,3,9
6,0.77,3,0,1,0.42,6,2
5,0.69,1,0,1,0.22,18,68
1,0.74,1,0,3,0.7,0,64
5,0.52,1,0,1,0.3,0,69
6,0.66,1,0,4,0.36,20,129
0,0.36,1,0,2,0.64,12,157
3,0.74,2,0,3,0.7,20,286
4,0.29,1,0,1,0.5,18,419
5,0.51,1,0,3,0.68,21,202
6,0.74,2,0,3,0.66,9,270
4,0.53,3,0,4,0.6,20,336
1,0.93,2,0,1,0.32,3,3
1,0.64,2,0,2,0.54,12,103
5,0.45,1,0,1,0.04,0,13
2,0.61,1,0,3,0.7,21,236
3,0.48,1,0,2,0.52,12,272
1,0.65,1,0,3,0.7,5,30
6,0.26,1,0,1,0.32,12,288
0,0.68,2,0,3,0.54,9,215
4,0.32,1,0,1,0.38,20,159
5,0.82,1,0,4,0.46,2,45
1,0.6,2,0,4,0.54,14,147
4,0.76,1,1,2,0.4,3,3
3,0.81,2,0,1,0.28,7,239
5,0.54,1,0,4,0.44,18,359
5,0.56,2,0,1,0.3,20,66
3,1.0,3,0,4,0.56,10,69
0,0.32,2,0,1,0.54,13,250
4,0.66,2,0,3,0.74,9,396
2,0.72,1,0,3,0.52,0,49
3,0.83,1,0,3,0.62,22,147
5,0.88,2,0,1,0.46,23,39
4,0.43,1,0,1,0.4,12,234
5,0.5,1,0,4,0.4,16,413
3,0.66,2,0,4,0.32,10,153
5,0.29,1,0,2,0.34,15,219
6,0.62,1,0,4,0.4,6,26
0,0.81,1,0,4,0.36,22,108
1,0.62,1,0,2,0.42,4,2
2,0.88,2,0,2,0.5,3,8
0,0.57,1,0,2,0.66,19,382
6,0.41,1,0,1,0.46,16,256
3,0.42,1,0,4,0.32,16,331
6,0.94,2,0,2,0.4,8,89
5,0.7,1,0,1,0.28,8,27
6,0.81,1,0,4,0.3,9,126
1,0.29,1,0,1,0.5,19,328
4,0.43,1,0,2,0.56,2,12
1,0.61,1,0,2,0.7,10,108
6,0.94,3,0,4,0.38,19,122
6,0.47,1,0,3,0.86,12,491
5,0.45,1,0,1,0.3,9,56
5,0.87,3,0,1,0.24,4,4
3,0.83,1,0,2,0.56,22,220
5,0.41,1,0,1,0.28,17,114
2,0.83,1,0,3,0.64,4,11
5,0.6,1,0,4,0.26,6,23
3,0.31,1,0,4,0.32,9,275
5,0.52,1,0,4,0.3,0,106
0,0.45,1,1,1,0.28,4,4
6,0.7,2,0,1,0.24,9,92
3,0.74,1,0,3,0.66,3,4
5,0.52,1,0,3,0.82,1,70
2,1.0,2,0,4,0.44,4,4
2,0.79,1,0,3,0.7,2,5
4,0.52,1,0,1,0.24,5,17
5,0.38,2,0,2,0.44,16,376
5,0.83,2,0,3,0.6,11,305
0,0.74,1,0,2,0.66,1,24
2,0.67,1,0,4,0.44,18,408
1,0.83,2,0,4,0.56,23,57
6,0.58,1,0,2,0.7,9,266
2,0.37,1,0,2,0.9,13,154
0,0.93,2,0,1,0.2,11,62
0,0.52,1,0,4,0.52,9,328
6,0.62,2,0,4,0.36,0,110
5,0.67,1,0,2,0.46,5,12
2,0.84,1,0,3,0.7,2,9
5,0.5,1,0,1,0.36,0,79
2,0.38,1,0,2,0.64,14,302
2,0.65,2,0,1,0.28,0,9
4,0.62,1,0,1,0.36,11,142
3,0.59,1,0,1,0.5,2,19
0,0.56,1,0,4,0.28,22,115
1,1.0,2,0,1,0.3,4,2
3,0.65,1,0,3,0.7,5,27
0,0.73,2,0,4,0.56,0,48
6,0.42,2,0,1,0.34,20,42
3,0.72,1,0,2,0.46,5,24
3,0.22,1,0,3,0.88,17,705
0,0.74,1,0,3,0.68,7,277
3,0.52,1,0,2,0.56,23,177
6,0.36,2,0,1,0.34,18,101
3,0.38,1,0,1,0.26,16,86
6,0.45,1,0,3,0.72,20,300
1,0.66,1,0,3,0.74,9,331
1,0.3,1,0,3,0.86,14,147
0,0.4,2,0,1,0.2,15,45
4,0.46,2,0,4,0.36,16,308
5,0.61,1,0,4,0.3,9,160
0,0.54,2,0,2,0.44,7,157
6,0.59,1,0,4,0.5,12,413
1,0.54,1,0,2,0.72,16,271
4,0.88,1,0,2,0.46,9,359
1,0.59,1,0,1,0.14,1,3
0,0.41,1,1,2,0.86,17,304
5,0.34,1,0,4,0.5,17,285
2,0.86,2,0,1,0.2,9,225
4,0.46,1,0,4,0.36,17,580
6,0.66,2,0,1,0.36,13,75
6,0.47,1,0,3,0.64,11,559
6,0.61,1,0,2,0.66,19,402
6,0.71,1,0,4,0.4,13,431
4,0.88,3,0,4,0.54,10,125
1,0.26,1,0,1,0.14,18,224
0,0.83,1,0,3,0.66,4,5
3,0.6,1,0,4,0.24,9,299
5,0.76,1,0,4,0.4,22,144
4,0.78,2,0,2,0.66,10,204
5,0.47,1,0,4,0.42,21,122
5,0.88,2,0,3,0.6,19,238
0,0.49,1,0,3,0.8,14,246
4,0.59,1,0,4,0.46,23,95
1,0.88,2,0,2,0.54,23,56
4,0.89,1,0,3,0.64,7,486
1,0.81,1,1,1,0.28,10,32
6,0.53,1,0,2,0.58,23,108
1,0.6,1,0,1,0.24,2,3
3,0.94,3,0,3,0.62,3,2
3,0.71,1,0,4,0.62,8,794
4,0.88,3,0,4,0.52,11,87
3,0.65,1,0,2,0.66,20,435
6,0.65,2,0,1,0.26,10,148
5,0.89,1,0,3,0.64,5,6
0,0.61,1,0,3,0.66,8,351
1,0.52,1,0,1,0.24,1,4
3,0.68,1,0,3,0.54,23,154
1,0.44,1,0,2,0.2,4,2
4,0.58,1,0,3,0.76,17,527
2,0.87,2,0,4,0.3,4,5
4,0.47,1,0,1,0.2,8,217
4,0.83,1,0,4,0.52,7,428
2,0.44,1,0,1,0.22,23,39
1,0.38,1,0,3,0.82,14,242
3,0.51,1,0,3,0.72,22,254
3,0.79,1,0,3,0.72,2,8
0,0.5,1,0,1,0.38,1,10
0,0.57,1,0,3,0.76,13,288
2,0.7,1,0,4,0.32,2,5
0,0.88,2,0,4,0.62,5,25
0,0.76,2,0,4,0.32,9,211
3,0.45,1,0,4,0.32,16,208
6,0.46,1,0,4,0.56,11,570
4,0.71,1,0,4,0.34,22,163
3,0.83,1,0,2,0.6,23,121
3,0.88,1,0,2,0.6,2,16
5,0.28,1,0,1,0.3,22,44
1,0.83,2,0,3,0.56,23,78
0,0.77,2,0,3,0.52,8,420
6,0.32,1,0,3,0.72,15,696
4,0.36,2,0,3,0.8,17,835
2,0.62,1,0,3,0.76,21,319
2,0.53,2,0,4,0.32,14,161
0,0.86,2,0,1,0.2,6,42
3,1.0,2,0,2,0.5,10,142
2,0.4,1,0,3,0.76,12,360
2,0.62,1,0,2,0.36,2,7
2,0.43,1,0,3,0.62,8,687
0,0.51,1,0,3,0.74,7,398
6,0.63,1,0,4,0.5,18,155
4,0.78,1,0,3,0.64,1,19
5,0.7,1,0,2,0.26,6,12
0,0.72,1,0,4,0.46,2,12
5,0.81,1,0,4,0.36,10,141
4,0.62,1,0,2,0.76,20,250
6,0.62,1,0,3,0.76,17,329
6,0.38,1,0,2,0.46,12,354
0,0.6,1,0,4,0.56,15,208
0,0.25,1,0,2,0.34,23,48
3,0.46,1,0,2,0.56,21,194
0,0.59,1,1,1,0.2,8,120
5,0.58,1,0,4,0.42,23,125
6,0.66,1,0,3,0.74,22,143
5,0.84,3,0,3,0.72,19,171
6,0.49,2,0,1,0.3,18,167
6,0.7,1,0,4,0.7,16,464
2,0.67,1,0,2,0.42,22,99
1,0.93,3,0,1,0.14,6,22
1,0.44,1,0,2,0.66,4,9
6,0.42,1,0,2,0.72,16,564
4,0.51,1,0,1,0.18,11,53
0,0.77,1,0,4,0.46,1,13
0,0.66,2,0,1,0.36,0,30
1,0.55,2,0,1,0.16,2,3
3,0.94,2,0,1,0.42,6,109
2,1.0,3,0,2,0.4,2,2
6,0.53,1,0,2,0.64,19,390
2,0.47,2,0,1,0.44,22,147
2,0.47,2,0,1,0.2,3,1
1,0.83,1,0,3,0.68,2,15
4,0.73,1,0,3,0.64,21,312
0,0.79,2,0,3,0.72,2,5
0,0.88,2,0,2,0.58,20,189
0,0.7,1,1,1,0.26,21,49
2,0.39,1,0,1,0.3,12,161
0,0.47,2,1,1,0.18,13,93
1,0.88,2,0,2,0.56,0,31
5,0.25,1,0,1,0.34,19,184
6,0.48,1,0,3,0.72,10,332
5,0.41,1,0,1,0.26,20,40
3,0.65,1,0,2,0.64,10,179
2,0.47,1,0,2,0.64,21,257
5,0.53,1,0,3,0.64,3,26
5,0.71,2,0,2,0.4,20,208
2,0.69,2,0,1,0.22,5,11
2,1.0,2,0,3,0.54,5,31
4,0.4,2,0,4,0.4,14,251
1,0.58,1,0,2,0.7,16,291
0,0.94,3,0,4,0.44,15,108
6,0.54,1,0,1,0.12,8,36
5,0.48,1,0,1,0.26,3,7
2,0.6,2,0,4,0.26,9,368
0,0.74,1,0,3,0.72,22,90
1,0.21,1,0,2,0.56,15,203
5,0.69,3,0,1,0.22,17,144
6,0.55,1,0,1,0.46,22,66
0,0.94,3,0,1,0.46,18,131
5,0.65,1,0,1,0.28,9,101
1,0.65,2,0,1,0.28,1,2
2,0.69,1,0,3,0.68,23,70
6,0.68,2,0,4,0.56,23,105
0,0.61,1,0,2,0.66,20,237
4,0.49,1,0,1,0.34,22,119
1,0.64,1,0,1,0.16,11,50
4,0.77,1,0,4,0.52,1,23
1,0.76,1,0,4,0.4,21,182
2,0.77,1,0,3,0.54,6,111
2,0.6,1,0,2,0.26,1,2
5,0.87,2,0,1,0.24,7,28
0,0.3,2,0,2,0.7,21,95
3,0.94,2,0,3,0.64,10,65
2,0.93,3,0,1,0.22,2,3
1,0.82,2,0,4,0.38,5,19
1,0.87,2,0,1,0.32,12,86
5,0.94,1,0,4,0.42,6,22
5,0.5,1,0,3,0.66,1,95
2,0.62,2,0,4,0.4,16,173
0,0.65,1,0,2,0.62,10,112
4,0.94,1,0,2,0.42,5,25
5,0.56,1,0,4,0.3,0,75
3,0.82,2,0,2,0.5,13,197
2,0.83,2,0,2,0.56,13,122
0,0.46,1,0,1,0.14,2,4
2,0.38,1,0,1,0.42,16,231
2,0.34,1,0,1,0.02,2,1
1,0.46,1,0,4,0.56,14,161
2,0.83,3,0,3,0.64,18,408
5,0.59,1,0,4,0.46,2,56
5,0.66,2,0,1,0.32,1,16
1,0.77,1,0,4,0.44,6,194
5,0.41,2,0,4,0.28,11,186
4,0.83,1,0,4,0.52,4,8
6,0.5,1,0,2,0.62,22,226
4,0.4,1,0,4,0.38,17,638
0,0.7,1,0,3,0.72,21,322
4,0.57,1,0,3,0.68,17,846
1,0.52,2,0,1,0.56,0,26
1,0.41,1,0,1,0.26,11,130
4,0.41,1,0,4,0.46,20,142
0,0.65,1,0,3,0.66,11,241
5,0.54,1,0,2,0.4,7,48
6,0.78,1,0,3,0.66,8,70
4,0.17,1,0,3,0.82,16,427
0,0.7,1,0,3,0.74,20,416
3,0.73,1,0,2,0.62,9,301
6,0.54,1,0,4,0.42,15,407
1,0.55,1,0,2,0.5,0,25
3,0.77,1,0,3,0.44,3,6
3,0.66,1,0,1,0.4,22,87
5,0.42,1,0,3,0.88,15,489
6,0.73,1,0,3,0.62,20,226
5,0.55,1,0,4,0.48,19,341
5,0.83,2,0,2,0.52,6,28
3,0.47,1,0,4,0.66,17,589
3,0.66,1,0,3,0.74,8,456
3,0.7,2,0,4,0.32,2,7
1,0.74,1,0,1,0.14,4,1
4,0.37,1,1,4,0.38,14,247
2,0.52,1,0,1,0.3,22,59
5,0.7,1,0,4,0.24,6,21
6,0.52,1,0,4,0.26,19,135
5,0.89,1,0,3,0.64,5,10
0,1.0,2,0,2,0.5,6,66
6,0.78,2,0,4,0.66,15,353
2,0.83,1,1,3,0.66,2,93
6,0.49,1,0,1,0.32,11,117
3,0.88,3,0,4,0.5,11,52
2,0.46,1,0,1,0.34,12,140
4,0.62,1,0,3,0.76,18,640
5,0.58,1,0,3,0.76,18,394
2,1.0,3,0,4,0.54,21,83
6,0.6,2,0,3,0.58,15,365
0,0.85,1,1,3,0.68,7,43
3,0.7,2,0,3,0.72,5,40
6,0.52,2,0,1,0.3,6,2
2,0.83,1,0,2,0.6,6,194
2,0.41,1,0,4,0.44,12,232
6,0.66,1,0,3,0.74,20,303
6,0.87,3,0,4,0.34,2,30
6,0.54,1,0,2,0.7,14,420
2,0.25,1,0,1,0.34,17,222
5,0.76,1,0,1,0.38,9,90
0,0.55,1,0,3,0.8,19,398
4,0.44,1,0,4,0.22,5,22
5,0.76,2,0,4,0.38,22,65
0,0.66,3,0,3,0.76,16,386
4,0.48,1,0,3,0.7,12,238
1,0.88,2,0,4,0.52,3,3
5,0.4,1,0,4,0.6,14,750
1,0.79,1,0,3,0.7,2,9
3,0.73,1,0,3,0.62,3,8
1,0.38,1,0,2,0.42,9,408
4,0.33,1,0,2,0.44,21,208
5,0.65,1,0,4,0.26,8,168
2,0.37,1,0,3,0.72,15,318
2,0.69,1,0,3,0.66,6,116
2,0.54,1,0,3,0.72,2,11
3,0.73,2,0,4,0.56,16,207
2,0.43,1,0,2,0.62,17,724
0,0.69,1,0,2,0.68,11,180
4,0.82,1,0,3,0.5,5,49
4,0.79,1,0,3,0.78,2,14
0,0.33,1,0,3,0.8,14,248
4,0.78,1,0,2,0.66,6,104
4,0.62,1,0,2,0.74,13,204
4,0.55,1,0,3,0.74,10,231
1,0.86,2,0,1,0.2,4,4
4,0.39,1,0,1,0.66,14,174
6,0.94,2,0,2,0.4,9,118
1,0.82,2,0,1,0.46,5,24
3,0.56,1,0,1,0.28,10,75
4,0.88,3,0,1,0.5,8,220
4,0.61,1,0,3,0.62,6,108
1,0.67,1,0,4,0.48,10,126
2,0.69,1,0,1,0.22,0,8
1,0.64,1,0,4,0.54,11,124
2,0.56,1,0,3,0.82,14,211
3,0.65,1,0,4,0.26,22,92
2,0.47,3,0,2,0.46,11,119
6,0.74,1,0,2,0.7,18,256
5,1.0,3,0,2,0.52,23,44
3,0.26,1,0,1,0.18,17,165
3,0.59,1,0,2,0.78,12,194
2,0.61,1,0,1,0.32,8,515
4,0.4,2,0,3,0.92,12,226
6,0.64,1,0,3,0.6,3,34
0,0.52,1,0,2,0.56,22,168
2,1.0,2,0,3,0.54,8,462
1,0.58,1,0,3,0.76,11,224
2,0.29,1,0,1,0.34,21,71
3,0.83,1,0,2,0.52,22,183
4,0.23,1,0,2,0.64,18,596
5,0.5,1,0,4,0.36,13,292
2,0.48,1,0,2,0.74,18,796
2,0.67,1,0,2,0.42,21,117
2,0.46,1,0,4,0.36,16,226
4,0.93,2,0,1,0.3,1,18
6,0.7,1,0,3,0.78,6,21
3,0.68,1,0,1,0.54,21,243
6,0.45,1,0,3,0.72,11,346
6,0.7,1,0,1,0.24,21,42
0,0.64,2,0,2,0.54,19,471
3,0.65,1,0,3,0.66,8,754
6,0.88,2,0,2,0.62,7,30
3,0.47,1,0,2,0.64,17,455
6,0.79,1,0,3,0.68,5,10
1,0.68,2,0,4,0.56,10,102
0,0.61,1,0,4,0.32,22,104
5,0.77,1,0,2,0.42,6,13
5,0.41,2,0,4,0.26,9,122
5,0.44,1,0,1,0.22,6,12
6,0.55,1,0,3,0.78,11,287
0,0.77,1,0,4,0.44,6,155
0,0.51,1,0,3,0.72,12,184
0,0.58,2,0,3,0.74,12,266
3,0.6,2,0,1,0.24,11,122
4,0.56,1,0,1,0.3,20,76
2,0.93,3,0,2,0.24,22,24
1,0.65,1,0,1,0.24,21,45
6,0.49,1,0,2,0.6,13,390
3,0.48,1,0,3,0.7,22,157
5,0.45,1,0,2,0.7,14,609
5,0.67,1,0,4,0.48,1,58
1,0.75,2,0,1,0.24,17,176
4,0.69,3,0,4,0.62,16,565
6,0.41,2,0,1,0.28,4,3
1,0.88,3,0,2,0.48,8,226
5,0.93,1,0,4,0.24,6,16
6,0.64,2,0,2,0.6,13,565
1,0.37,1,0,1,0.16,15,77
2,0.58,1,0,3,0.76,23,131
3,0.42,1,0,1,0.34,13,118
0,0.51,2,0,3,0.72,8,673
6,0.66,1,0,3,0.72,22,181
2,0.75,2,0,4,0.26,0,23
1,0.52,1,0,4,0.56,10,170
3,0.66,1,0,3,0.74,0,66
6,0.6,1,0,1,0.24,23,25
4,0.41,1,0,4,0.26,10,115
3,0.87,2,0,4,0.4,1,11
5,0.71,1,0,2,0.42,7,67
0,0.66,2,1,4,0.42,18,456
1,0.49,1,0,4,0.34,18,559
6,0.62,1,0,4,0.4,1,84
5,0.51,1,0,4,0.46,19,283
2,0.54,1,0,2,0.42,9,321
1,0.27,1,0,1,0.38,16,108
0,0.65,1,0,2,0.7,9,316
2,0.46,1,0,4,0.34,12,240
6,0.74,1,0,3,0.74,18,500
1,0.89,1,0,3,0.68,1,21
3,0.43,1,0,2,0.56,0,44
4,0.94,3,0,3,0.62,8,288
0,0.72,2,0,2,0.52,18,276
0,0.46,1,0,1,0.34,22,45
0,0.5,1,0,4,0.36,18,354
2,0.72,1,0,4,0.52,22,154
0,0.36,1,0,3,0.86,10,97
2,0.5,1,0,1,0.4,5,18
3,0.42,1,0,2,0.74,18,823
6,0.87,2,0,4,0.3,1,94
3,0.48,1,0,3,0.74,18,941
2,0.54,1,0,1,0.44,12,179
5,0.77,2,0,1,0.42,22,63
0,0.34,1,0,3,0.72,11,131
2,0.65,2,0,1,0.28,12,138
0,0.89,1,1,3,0.66,4,11
1,0.39,1,0,2,0.9,13,147
5,1.0,3,0,1,0.2,12,48
3,0.3,1,0,2,0.74,15,333
2,0.35,1,1,3,0.92,16,389
4,0.31,1,0,2,0.76,14,373
6,0.63,1,0,2,0.52,8,86
1,0.68,2,0,2,0.54,13,129
0,0.44,1,1,1,0.26,15,192
4,0.35,1,0,1,0.4,20,171
4,0.44,1,0,1,0.66,19,190
0,0.65,1,0,3,0.64,13,343
0,0.43,1,1,3,0.82,15,408
4,0.52,1,0,3,0.8,17,730
4,0.77,1,0,1,0.52,11,59
0,0.94,2,0,2,0.56,7,236
0,0.65,1,0,1,0.26,3,3
2,0.6,1,0,3,0.6,1,24
3,0.77,1,0,1,0.42,5,29
6,0.38,1,0,4,0.42,14,300
2,0.4,2,0,1,0.2,19,184
1,0.66,1,0,4,0.36,20,147
1,0.67,1,0,1,0.42,17,515
2,0.4,1,0,1,0.56,18,544
0,0.62,1,1,2,0.78,20,317
1,0.79,1,0,3,0.68,4,4
1,0.83,2,0,3,0.68,4,5
6,0.68,3,0,1,0.1,0,21
2,0.55,2,0,4,0.34,11,115
4,0.75,2,0,4,0.3,8,441
0,0.82,1,0,4,0.44,21,221
2,0.32,1,0,1,0.38,12,86
5,1.0,1,0,1,0.26,21,56
2,0.49,1,0,1,0.32,1,6
6,0.35,1,0,4,0.58,12,444
5,0.83,2,0,3,0.62,1,72
5,0.54,1,0,4,0.4,20,255
1,0.55,1,0,1,0.16,0,5
1,0.39,1,0,4,0.66,17,967
4,0.5,1,0,3,0.66,1,31
0,0.76,3,1,4,0.4,22,107
5,0.93,3,0,1,0.16,9,20
4,0.48,1,0,2,0.52,5,28
1,0.81,1,0,4,0.36,1,11
2,0.65,1,0,1,0.26,0,9
0,0.87,1,0,4,0.34,0,15
2,0.46,1,0,2,0.6,10,203
1,0.47,1,0,2,0.86,12,162
4,0.74,2,0,3,0.72,8,457
5,0.88,3,0,3,0.6,17,241
6,0.51,1,0,2,0.46,11,411
6,0.52,1,0,1,0.24,6,5
1,0.56,1,0,3,0.82,12,185
2,0.87,2,0,1,0.24,10,97
0,0.87,1,0,4,0.46,21,126
1,0.67,1,0,4,0.42,4,7
5,1.0,2,0,1,0.3,7,15
2,0.61,1,0,1,0.32,20,235
3,0.71,2,0,1,0.38,13,173
6,0.61,3,0,1,0.34,23,24
0,0.87,2,0,1,0.22,23,52
4,0.38,1,0,4,0.46,17,837
3,0.73,3,0,2,0.58,6,112
3,0.41,1,0,3,0.86,13,155
2,0.66,1,0,3,0.76,17,863
5,0.83,1,0,3,0.68,7,63
5,0.76,3,0,2,0.34,15,136
2,0.42,2,0,4,0.34,13,238
4,0.7,1,0,3,0.72,1,54
5,0.4,2,0,2,0.6,19,459
1,0.88,3,0,3,0.54,13,29
1,0.48,1,0,4,0.5,14,150
3,0.7,1,0,3,0.72,2,7
0,0.88,2,0,4,0.48,23,62
6,0.49,2,0,1,0.32,5,2
2,0.46,1,1,3,0.82,11,485
4,0.44,1,0,2,0.84,12,207
6,0.54,2,0,4,0.44,4,11
4,0.64,2,0,1,0.18,2,2
3,0.94,3,0,4,0.62,6,133
4,0.51,1,0,3,0.68,23,151
5,0.58,1,0,2,0.7,22,214
5,0.23,1,0,2,0.46,23,118
